"ORIG_RT","ORIG_AMT","ORIG_TRM","OLTV","OCLTV","NUM_BO","DTI","CSCORE_B","NUM_UNIT","LAST_RT","Loan.Age","Adj.Month.To.Mat","CSCORE_MN","loan_month","first_month","cluster"
4.875,12.3883942023241,12,80,80,2,25,770,1,4.875,0,359,770,366,2,2
8.5,10.8967393255464,12,90,90,1,33,781,1,8.5,0.2,354,781,366,2,4
5.875,12.0435537160324,6,45,45,2,12,779,1,5.875,0.133333333333333,175,779,184,2,5
3.25,11.0821425488778,4,31,54,2,18,808,1,3.25,0.1,114,808,123,2,5
3.25,11.6082356447746,4,71,71,1,18,718,1,3.25,0.133333333333333,115,718,123,2,1
7.75,12.5245263766487,12,35,35,2,61,751,1,7.75,0.166666666666667,355,668,366,2,5
6.5,12.4799093111599,12,90,90,2,39,786,1,6.5,0.166666666666667,354,786,366,2,3
4.875,11.8493977015914,6,64,80,2,45,606,2,4.875,0.233333333333333,173,606,184,2,1
6.25,12.3883942023241,12,80,80,2,43,804,1,6.25,0.1,356,804,366,2,3
7,12.0725412529057,12,72,72,3,25,674,1,7,0.2,353,674,366,2,3
3,11.6952470217642,6,32,32,2,11,722,1,3,0.0666666666666667,0,722,184,2,5
5.125,12.0317192583854,6,57,57,2,33,786,1,5.125,0.233333333333333,172,786,184,2,1
6.125,11.3850920934603,12,72,72,1,23,802,1,6.125,0.333333333333333,336,802,366,2,4
6.5,10.9331069697173,12,16,16,1,45,810,1,6.5,0.1,355,810,366,2,5
3.375,11.7440371859336,6,64,89,2,23,805,1,3.375,0,180,805,184,2,1
4.875,12.0257490913989,8,66,66,2,16,780,1,4.875,0.366666666666667,229,780,245,2,1
5,12.3194013308372,12,75,75,2,45,790,1,5,0.3,338,789,366,2,2
4.175,12.4684369099977,12,80,80,2,24,813,1,4.175,0.1,357,789,366,2,2
5.75,10.9681982895286,6,83,83,1,13,798,1,5.75,0.3,170,798,184,2,1
4.347,13.3358605516667,12,84,84,2,29,793,1,4.347,0.366666666666667,349,778,366,2,2
3.813,11.9953516142145,12,57,61,2,15,811,1,3.813,0.0333333333333333,352,800,366,2,2
4.625,12.837344422372,12,80,80,2,42,756,1,4.625,0.0666666666666667,358,725,366,2,2
5.75,12.0257490913989,12,79,79,2,45,642,1,5.75,0.333333333333333,350,642,366,2,3
7.25,12.2690474446916,12,97,97,1,61,779,1,7.25,0.166666666666667,0,779,366,2,4
4,12.5061772379805,12,57,57,1,29,817,1,4,0.266666666666667,352,817,366,2,4
4.875,12.4722756863048,12,80,80,2,42,770,1,4.875,0.0666666666666667,357,770,366,2,2
4.25,12.8687606186054,12,69,69,2,32,784,1,4.25,0.1,356,784,366,2,2
6.125,12.8739020181058,12,78,88,2,31,718,1,6.125,0.366666666666667,349,717,366,2,2
6.5,12.2010601037066,12,91,91,2,37,777,1,6.5,0.3,351,777,366,2,3
8.25,11.1562505210315,12,40,40,2,8,762,1,8.25,0.333333333333333,350,762,366,2,5
5.875,12.4684369099977,12,67,67,2,45,760,2,5.875,0.1,0,760,366,2,2
2.875,12.106252310248,6,45,45,2,32,732,1,2.875,0.1,177,732,184,2,1
4.566,11.9891596439666,12,66,66,2,31,800,1,4.566,0.2,350,762,365,1,2
7.25,12.0376539939052,12,95,95,2,46,772,1,7.25,0.266666666666667,352,759,366,2,3
5.75,11.0821425488778,8,28,28,2,23,805,1,5.75,0.3,229,805,244,2,5
4.5,12.273731294004,6,54,54,2,15,805,1,4.5,0.1,177,805,184,2,1
6.75,11.0821425488778,6,74,74,2,64,741,1,6.75,0.166666666666667,169,741,184,2,3
5.75,12.3013828253345,12,80,85,2,40,731,1,5.75,0.0333333333333333,359,731,366,2,3
5.875,11.4510500612521,12,80,80,1,55,665,1,5.875,0.166666666666667,355,665,366,2,4
4.5,11.9117015849276,12,90,90,2,25,751,1,4.5,0.166666666666667,355,751,366,2,2
5.25,12.4049235042753,12,61,61,2,31,784,1,5.25,0.333333333333333,349,779,366,2,2
6.75,12.1756134380455,12,95,95,1,47,655,1,6.75,0.3,349,655,366,2,4
